time_of_day,track_name,artist_name
Evening,Lights - Single Version,Ellie Goulding
Evening,Pictures Of You,The Last Goodnight
Evening,You're the Voice,John Farnham
Evening,Hon gör allt för att göra mig lycklig,Tomas Ledin
Evening,Kung för en dag,Magnus Uggla
Evening,Vandraren,Nordman
Evening,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston
Evening,The Sign,Ace of Base
Evening,Seven (feat. Latto),Jung Kook
Evening,Cupid - Twin Ver.,FIFTY FIFTY
Evening,Take Two,BTS
Evening,Typa Girl,BLACKPINK
Evening,The Astronaut,Jin
Evening,New Rules,Dua Lipa
Evening,Forget Me,Lewis Capaldi
Evening,If It Wasn't For The Nights,ABBA
Evening,Superman (It's Not Easy),Five For Fighting
Evening,HUMANS - VIP REMIX,GEN.KLOUD
Evening,get him back!,Olivia Rodrigo
Evening,greedy,Tate McRae
Evening,Radio,Lana Del Rey
Evening,If We Ever Broke Up,Mae Stephens
Evening,Försvinn,Staffan Hellstrand
Evening,NÄR RÄVEN RASKAR,Emil Assergård
Evening,Alla Fåglar Blåa,Jonathan Johansson
Evening,The One That I Want,Peg Parnevik
Evening,Ramla,Victor Leksell
Evening,Chemical,Post Malone
Evening,I Wanna Be Yours,Arctic Monkeys
Evening,Paint The Town Red,Doja Cat
Evening,Last Night,Morgan Wallen
Evening,Den Vilda,One More Time
Evening,Let Your Spirit Fly,Jan Johansen
Evening,Var Ska Vi Sova Inatt,Perikles
Evening,Guld och gröna skogar,Hasse Andersson
Evening,Håll om mig,Nanne
Evening,Fake Love,Drake
Evening,Scared to Be Lonely,Martin Garrix
Evening,Bad Things (with Camila Cabello),mgk
Evening,BANG BANG BANG,BIGBANG
Evening,Inside the Lines,Mike Perry
Evening,This Town,Niall Horan
Evening,What A Time (feat. Niall Horan),Julia Michaels
Evening,Somebody To You,The Vamps
Evening,a thousand years,Christina Perri
Evening,"Sit Still, Look Pretty",Daya
Night,Waiting,Green Day
Night,Nervous (The Ooh Song) - Mark McCabe Remix,Gavin James
Night,RAGGEN GÅR,Elov & Beny
Night,Where You Are (Sávežan),Arc North
Night,Air,Marcus & Martinus
Night,Just Give Me a Reason (feat. Nate Ruess),P!nk
Night,Genie In a Bottle,Christina Aguilera
Night,Shallow,Lady Gaga
Night,Scars To Your Beautiful,Alessia Cara
Night,One Last Time,Ariana Grande
Night,I'm Shipping Up To Boston,Dropkick Murphys
Night,You're The One That I Want - From “Grease”,John Travolta
Night,99 Luftballons,Nena
Night,Home,Edward Sharpe & The Magnetic Zeros
Night,Wings,Birdy
Night,Someone To You,BANNERS
Night,Raise Your Glass,P!nk
Night,I'm Like A Bird,Nelly Furtado
Night,"I'll Be There for You - Theme From ""Friends""",The Rembrandts
Night,Bones,Imagine Dragons
Night,Creepin' (with The Weeknd & 21 Savage),Metro Boomin
Night,Leave The Door Open,Bruno Mars
Night,Chaleya,Anirudh Ravichander
Night,Way Of Life,Brennan Heart
Night,Everything We Are,Brennan Heart
Morning,Vem e som oss,Anis Don Demina
Afternoon,Melody Of The Blade,Brennan Heart
Afternoon,Time Will Tell (Official Reverze Anthem 2022),Brennan Heart
Afternoon,The Foundations of Decay,My Chemical Romance
Afternoon,I Don't Love You,My Chemical Romance
Afternoon,Higher Love,Kygo
Afternoon,Mr. Brightside,The Killers
Afternoon,Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio,Eiffel 65
Afternoon,Dancing Queen,ABBA
Afternoon,Everlong,Foo Fighters
Afternoon,Those Eyes,New West
Afternoon,What It Is (Solo Version),Doechii
Afternoon,Rush,Troye Sivan
Afternoon,Daylight,David Kushner
Afternoon,Lil Boo Thang,Paul Russell
Afternoon,Let Me Go (feat. Chad Kroeger),Avril Lavigne
Afternoon,Losing Grip,Avril Lavigne
Afternoon,Nobody's Home,Avril Lavigne
Afternoon,I Miss You,blink-182
Afternoon,Ocean Avenue,Yellowcard
Afternoon,Imagine - Remastered 2010,John Lennon
Afternoon,Wide Awake,Katy Perry
Afternoon,The Plot To Bomb The Panhandle,A Day To Remember
Afternoon,Northern Attitude (with Hozier),Noah Kahan
Afternoon,Scott Pilgrim,Plumtree
Afternoon,We Need More Bricks,Neck Deep
Afternoon,Confidence,Ocean Alley
Afternoon,exes,Tate McRae
Afternoon,Someone New,Eskobar
Afternoon,Jag ljuger så bra,Linda Bengtzing
Afternoon,The Light Behind Your Eyes,My Chemical Romance
Afternoon,Smile,Benjamin Ingrosso
Afternoon,Saving Light,Gareth Emery
Afternoon,90-talet,WAHL
Afternoon,Du är allt,Sonja Aldén
Afternoon,Ego,Emil Assergård
Afternoon,Fan va bra,Jakob Karlberg
Afternoon,Säg mig var du står,Little Jinder
Afternoon,Jag blev jag,Jens Hult
Afternoon,Bois Lie (feat. Machine Gun Kelly),Avril Lavigne
Afternoon,Ready or Not,Fugees
