time_of_day,track_name,artist_name,bpm
Afternoon,Fat Lip,Sum 41,Low
Afternoon,Face Down,The Red Jumpsuit Apparatus,High
Afternoon,Give Me Novacaine / She's a Rebel,Green Day,High
Afternoon,Mr. Perfectly Fine (Taylor’s Version) (From The Vault),Taylor Swift,Medium
Afternoon,crushcrushcrush,Paramore,Medium
Afternoon,When You're Gone,Avril Lavigne,Low
Afternoon,Keep Holding On,Avril Lavigne,High
Afternoon,Wish You Were Here,Avril Lavigne,High
Afternoon,Smile,Avril Lavigne,High
Afternoon,Hot,Avril Lavigne,Medium
Afternoon,Watermelon Sugar,Harry Styles,Medium
Afternoon,Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,Medium
Afternoon,Here With Me,Marshmello,Medium
Afternoon,Eyes Closed,Ed Sheeran,Medium
Afternoon,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,Medium
Afternoon,Dance The Night - From Barbie The Album,Dua Lipa,Medium
Afternoon,Flowers,Miley Cyrus,High
Afternoon,Say Yes To Heaven,Lana Del Rey,Medium
Afternoon,Built This City - Radio Edit,D-Block & S-te-Fan,Medium
Afternoon,World Renowned,D-Block & S-te-Fan,High
Afternoon,God Is A DJ,D-Block & S-te-Fan,Medium
Afternoon,Ghost Stories,D-Block & S-te-Fan,High
Afternoon,Fired Up,D-Block & S-te-Fan,High
Afternoon,What's Love Got to Do with It,Kygo,Medium
Afternoon,Shape of You,Ed Sheeran,Medium
Afternoon,The Ocean (feat. Shy Martin),Mike Perry,Medium
Afternoon,Cold Ain't For Me,OCEANS,Medium
Afternoon,Cardio,Timmy Trumpet,Medium
Evening,Cardio,Timmy Trumpet,Medium
Evening,How To Save A Life (feat. loafers & The High),Timmy Trumpet,Medium
Evening,Feel It!,D-Block & S-te-Fan,Medium
Evening,Darkest Hour (The Clock),D-Block & S-te-Fan,Medium
Evening,Rave Into Space,Sub Zero Project,Medium
Evening,Obey No More,Sub Zero Project,Medium
Evening,Fire And Ice,MYST,High
Evening,Great Spirit - Wildstylez Remix,Armin van Buuren,Medium
Evening,Melody Of The Blade,Brennan Heart,Medium
Evening,Deep End - Shinovi Remix,STANDERWICK,Medium
Evening,Runaway,Armin van Buuren,High
Evening,Only A Heartbeat Away,Giuseppe Ottaviani,Medium
Evening,Coming Down,Withard,Medium
Evening,Infinity,Neolux,Low
Evening,Silence - Brennan Heart Remix,Delerium,Medium
Evening,Superstring - Aftershock Remix,Cygnus X,Medium
Evening,Rave Love,W&W,Medium
Evening,Epic Sax Song,Adrenalize,Medium
Evening,Shabaka,Adrenalize,Medium
Evening,Here To Stay,Coone,Medium
Evening,Dragonborn part 3 (Oceans Apart),Headhunterz,Medium
Evening,Speaker Test - Pherato Remix,Justin Prime,Medium
Evening,Different State,Maddix,Medium
Evening,Enter Your Mind,D-Block & S-te-Fan,Medium
Evening,Music Of The Mind,Envine,Medium
Evening,Harder State Of Mind,D-Block & S-te-Fan,Medium
Evening,Inside My Head,Ghost Stories,Medium
Evening,Lyra - Broken Minds Remix,Korsakoff,Medium
Evening,Awaken,KELTEK,Low
Evening,Feel Inside,D-Block & S-te-Fan,High
Evening,Time Machine,Sub Zero Project,Medium
Evening,Shock Therapy - Rising Altitude Mix,Splinta,Medium
Morning,Stay Mine - Gabry Ponte Remix,Timmy Trumpet,Medium
Evening,Obey No More,Warface,Medium
Evening,Fuck You,CeeLo Green,Low
Evening,Lights - Single Version,Ellie Goulding,Medium
Evening,Pictures Of You,The Last Goodnight,High
Evening,You're the Voice,John Farnham,High
Evening,Hon gör allt för att göra mig lycklig,Tomas Ledin,Medium
Evening,Kung för en dag,Magnus Uggla,Medium
Evening,Vandraren,Nordman,Medium
Evening,I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,Medium
Evening,The Sign,Ace of Base,Medium
Evening,Seven (feat. Latto),Jung Kook,Medium
Evening,Cupid - Twin Ver.,FIFTY FIFTY,Medium
Evening,Take Two,BTS,Medium
Evening,Typa Girl,BLACKPINK,Medium
Evening,The Astronaut,Jin,Medium
Evening,New Rules,Dua Lipa,Medium
Evening,Forget Me,Lewis Capaldi,Medium
Evening,If It Wasn't For The Nights,ABBA,Medium
Evening,Superman (It's Not Easy),Five For Fighting,Medium
Evening,HUMANS - VIP REMIX,GEN.KLOUD,Medium
Evening,get him back!,Olivia Rodrigo,Medium
Evening,greedy,Tate McRae,Medium
Evening,Radio,Lana Del Rey,Medium
Evening,If We Ever Broke Up,Mae Stephens,Medium
Evening,Försvinn,Staffan Hellstrand,Medium
Evening,NÄR RÄVEN RASKAR,Emil Assergård,Medium
Evening,Alla Fåglar Blåa,Jonathan Johansson,Medium
Evening,The One That I Want,Peg Parnevik,Medium
Evening,Ramla,Victor Leksell,Medium
Evening,Chemical,Post Malone,High
Evening,I Wanna Be Yours,Arctic Monkeys,Medium
Evening,Paint The Town Red,Doja Cat,High
Evening,Last Night,Morgan Wallen,Low
Evening,Den Vilda,One More Time,Medium
Evening,Let Your Spirit Fly,Jan Johansen,Medium
Evening,Var Ska Vi Sova Inatt,Perikles,Medium
Evening,Guld och gröna skogar,Hasse Andersson,Medium
Evening,Håll om mig,Nanne,Medium
Evening,Fake Love,Drake,Low
Evening,Scared to Be Lonely,Martin Garrix,Medium
Evening,Bad Things (with Camila Cabello),mgk,Medium
Evening,BANG BANG BANG,BIGBANG,Medium
Evening,Inside the Lines,Mike Perry,Medium
Evening,This Town,Niall Horan,Low
Evening,What A Time (feat. Niall Horan),Julia Michaels,Medium
Evening,Somebody To You,The Vamps,Medium
Evening,a thousand years,Christina Perri,Medium
Evening,"Sit Still, Look Pretty",Daya,Medium
Night,Waiting,Green Day,Low
Night,Nervous (The Ooh Song) - Mark McCabe Remix,Gavin James,Medium
Night,RAGGEN GÅR,Elov & Beny,Medium
Night,Where You Are (Sávežan),Arc North,Medium
Night,Air,Marcus & Martinus,High
Night,Just Give Me a Reason (feat. Nate Ruess),P!nk,Medium
Night,Genie In a Bottle,Christina Aguilera,Low
Night,Shallow,Lady Gaga,High
Night,Scars To Your Beautiful,Alessia Cara,Medium
Night,One Last Time,Ariana Grande,Medium
